ID, 达人名, 视频标题, 是否热门, 播放数, 点赞数, 评论数, 分享数
6618416567472357379,爱美酱图图,炒鸡简单实用的#高马尾 ，零发缝高颅顶，谁扎谁好看！#发型教程,true,1370482,44514,775,578
6618416567472357379,爱美酱图图,衣品速成班，摆脱土味感，女生必学的4个万能#穿搭 公式，让你#气质 秒升一大截！#穿搭技巧,false,1468434,47316,716,749
6844777427940409357,阿發,有生以来贴的最完美的仙子毛，我都感动的落泪了#反向贴睫毛 @DOU+小助手,false,1246040,24949,811,94
6844777427940409357,阿發,别催了别催了 教程来了#一根线修眉 一定要根据自己的眉毛调整定位！,false,6196994,230077,5522,4751
6844777427940409357,阿發, #一根线修眉 等等我,false,1015072,25498,381,20
6844777427940409357,阿發,我第一次拥有这么整齐的眉毛#眉毛教程 @DOU+小助手 #一根线修眉 ,true,32744801,806933,44223,6898
6844777427940409357,阿發,,true,1494565,27699,1223,21
6844777427940409357,阿發,,true,1695737,57306,3964,67
6723493493936750606,丑姐不丑,此生不悔入华夏！㊗️祖国繁荣昌盛！喜欢这系列点❤️，我继续～蕞后太炸了！#祝我们的祖国生日快乐 #国庆假期第一条抖音,false,6308839,88078,17771,2580
6723493493936750606,丑姐不丑,,true,29346303,400295,27287,7198
6723493493936750606,丑姐不丑,,true,5928357,55438,1640,43
6723493493936750606,丑姐不丑,明天更新下集😂这几个学生党必备哦～实惠，收藏吧❤️我的截图给你们～ #无忧之夜2021 ,false,1019012,22445,1083,81
6723493493936750606,丑姐不丑,最后来福非要到我怀里来，都70斤了，还以为自己是小狗🤤这4个玩意儿，记得收藏哈～❤️,false,1319252,35165,527,80
6723493493936750606,丑姐不丑,1-10分你打几分？很久没更新#仿妆 了🤣下次更新男明🌟，等我～#无美颜无滤镜 #无忧之夜2021 ,false,4214235,37011,3736,70
6723493493936750606,丑姐不丑,最后小哥哥好像一个跳舞男明🌟，你们猜猜？是我不配🤣#双人沉浸式化妆 #直男化妆,false,1861432,28016,891,66
6723493493936750606,丑姐不丑,这期看起爽不爽？哈哈哈 喜欢这个系列的点❤️，我继续更😀#咆哮式化妆 #我和狗狗的沉浸式,true,14827905,191854,61032,16560
6723493493936750606,丑姐不丑,#咆哮式化妆 总觉得差点什么？🤔 你们喜欢我和来福的沉浸式还是咆哮式？我根据你们喜欢来更新 哈哈哈哈,false,2174432,30989,1973,170
6723493493936750606,丑姐不丑,关上门的那么一瞬间！发现钥匙没带！漂亮！等开锁中…索性拍一段#踢腿高能慢动作,false,1162733,12401,189,11
6723493493936750606,丑姐不丑,有比来福更离谱的吗？ #我和狗狗的沉浸式 ,true,60617352,1973896,184308,77224
6723493493936750606,丑姐不丑,没想到还给我现场相了一个男生，你们觉得我要不要处一下啊？？哈哈哈#沉浸式户外故事大赛 ,false,7262094,128535,4847,278
6696534838683369476,MAJOONE是阿蛮,淡颜如何不动声色的变浓颜？#妆前妆后 #化妆分享,false,1252633,85876,2625,323
6696534838683369476,MAJOONE是阿蛮,长脸宽双眼皮显老的姐妹要不试试窄双？#妆前妆后 #分享妆容,false,3281169,157933,7284,778
6696534838683369476,MAJOONE是阿蛮,素了吧唧yyds#妆前妆后#仿妆,false,9037784,610805,35436,3316
6696534838683369476,MAJOONE是阿蛮,剪了一天的教程……腰断了#鱿鱼游戏#仿妆#姜晓,false,1875955,72947,2541,493
6696534838683369476,MAJOONE是阿蛮,前几天去西藏的我回来了，路上一直想出067仿妆#鱿鱼游戏#姜晓#仿妆,true,24724551,1096642,44582,6453
6696534838683369476,MAJOONE是阿蛮,是有野心很精明，胜负心重的样子了#妆容教程,false,5737452,241654,10250,3105
6696534838683369476,MAJOONE是阿蛮,好像真的变美了不少#妆前妆后,false,1750700,103236,4164,604
6696534838683369476,MAJOONE是阿蛮,看着就不太好惹妆容#化妆分享,false,1111549,36917,1738,595
6696534838683369476,MAJOONE是阿蛮,,false,12029943,271514,42706,1191
6696534838683369476,MAJOONE是阿蛮,掌握底层逻辑，多加练习#妆教,false,1208148,61988,2215,1352
6696534838683369476,MAJOONE是阿蛮,下次再详细讲颅顶垫高，以及增加发量的方法吧#妆前妆后#化妆分享,false,5917726,459820,18538,7801
6696534838683369476,MAJOONE是阿蛮,最近致力研究这种，素了吧唧的妆容#妆前妆后,true,22307976,1580591,85797,17683
6696534838683369476,MAJOONE是阿蛮,安排上安排上#化妆分享,false,2044231,29584,1211,622
6749073463748591630,骆王宇,#LAMER 赴约年轻复新之旅  高原解锁肌肤自愈力,false,1824591,57209,7078,220
6749073463748591630,骆王宇,售后是否及格，你们说说心得？#售后小骆 ,false,3592819,37429,2506,47
6749073463748591630,骆王宇,散粉没错，错的是我 #骆王宇干货day ,false,10411285,320477,17872,1423
6749073463748591630,骆王宇,新品有点boring，但也有我darling #骆王宇好物day,false,6880781,93976,1960,231
6749073463748591630,骆王宇,军神举重顶呱呱，歌喉也是人人夸 #骆王宇八卦day ,false,2108864,23227,1308,50
6749073463748591630,骆王宇,滑板公园见昊然，小骆探班有料谈 #骆王宇八卦day #刘昊然  ,false,3007683,95242,7886,422
6749073463748591630,骆王宇,暗沉脱妆怪粉底？这锅它真背不起#骆王宇干货day,false,6396292,111839,8308,1242
6749073463748591630,骆王宇,干皮护肤陷阱少，可惜就是不抗老#骆王宇干货day,false,6473184,131062,12733,4659
6749073463748591630,骆王宇,好评来之不易，售后仍需努力#售后小骆,false,9536853,181877,3415,146
6749073463748591630,骆王宇,小骆变身打工人，只想整个大新闻 #骆王宇八卦day ,false,4952099,160268,6514,464
6749073463748591630,骆王宇,三点做好不再愁，大庆油田不产油#骆王宇干货day,false,21653150,988235,49846,12826
6749073463748591630,骆王宇,护肤细水长流，平衡才能持久 #骆王宇干货day ,false,3882073,66433,4845,712
6749073463748591630,骆王宇,毛孔粗大全搞定，这些知识要牢记 #骆王宇干货day,false,13256007,587707,19379,6205
6749073463748591630,骆王宇,关我啥事，关你啥事#骆王宇八卦day,true,45184401,1917532,61139,6437
6749073463748591630,骆王宇,售后够强，大娘不凉 #售后小骆 ,false,3703974,59715,6713,155
6823561230846787591,几米（今晚七点半直播）,修容盘里有这种色千万别扔 比修容还到位！！！,false,1472546,29426,518,85
6823561230846787591,几米（今晚七点半直播）,冷门妈妈快开门！！冷门到家了！！！,false,3479566,93157,1189,184
6823561230846787591,几米（今晚七点半直播）,哪个女孩能不爱长颈鹿！！！#耳环 #好物推荐,false,1055673,11357,728,67
6823561230846787591,几米（今晚七点半直播）,来体验在脸上滑梯的快乐！！！#护肤,false,3895410,119766,1618,527
6823561230846787591,几米（今晚七点半直播）,传家宝之 三步隐形毛孔！！！#底妆,false,3069972,50928,829,106
6823561230846787591,几米（今晚七点半直播）,拍照技术不好的男朋友 在新疆根本没理由骂！！！#一起看雪 #新疆,false,5243950,96854,3909,853
6823561230846787591,几米（今晚七点半直播）,真真是掏了一会心窝子！！！#三亚 #旅行攻略,true,8281418,347735,11408,13135
6823561230846787591,几米（今晚七点半直播）,发誓！！没有学不会的手了！！！#卧蚕,true,9054811,154505,2559,525
6823561230846787591,几米（今晚七点半直播）,它竟然也有润出猪油的一天！！！#底妆,false,1870410,15654,705,76
